Name,Last,High,Low,Chg.,Change%,Vol.,Time,Ticker
Tyler Technologies,630.09,641.77,626.11,-14.59,-2.26%,249.18K,16:00:09,TYL
Targa Resources,204.70,205.81,195.42,-5.59,-2.66%,2.81M,16:00:09,TRGP
Meta Platforms,694.84,705.63,693.64,-8.93,-1.27%,12.59M,16:00:09,META
Alexandria RE,95.52,96.09,94.94,0.21,0.22%,1.29M,16:00:09,ARE
Teleflex,175.13,176.71,173.34,0.31,0.18%,767.69K,16:00:09,TFX
Westinghouse Air Brake,192.11,193.28,190.43,-1.21,-0.63%,1.15M,16:00:09,WAB
Evergy,67.25,67.45,66.08,-0.01,-0.01%,1.82M,16:00:09,EVRG
Willis Towers Watson,324.73,325.63,321.99,-0.9,-0.28%,388.68K,16:00:09,WTW
Caesars,37.76,38.43,37.52,-0.21,-0.55%,3.17M,16:00:09,CZR
Enphase,66.17,66.89,64.44,-0.19,-0.29%,2.67M,16:00:09,ENPH
Aptiv,67.62,67.97,66.76,0.96,1.44%,2.62M,16:00:09,APTV
Crown Castle,91.23,91.44,88.52,1.97,2.21%,2.66M,16:00:09,CCI
EPAM Systems,225.07,241.04,213.42,-33.04,-12.80%,2.29M,16:00:09,EPAM
Pentair,95.25,96.10,94.32,-0.92,-0.96%,1.01M,16:00:09,PNR
Mondelez,62.17,62.61,61.62,0.24,0.39%,9.53M,16:00:09,MDLZ
Skyworks,67.32,68.11,66.90,-0.3,-0.44%,2.27M,16:00:09,SWKS
Tractor Supply,57.74,57.99,57.23,-0.12,-0.21%,2.64M,16:00:09,TSCO
Deckers Outdoor,150.02,151.58,146.47,-2.53,-1.66%,3.95M,16:00:09,DECK
Lululemon Athletica,365.82,369.53,359.10,-1.4,-0.38%,1.46M,16:00:09,LULU
Regeneron Pharma,696.02,703.14,685.45,10.36,1.51%,627.59K,16:00:09,REGN
United Rentals,694.77,710.29,691.12,-14.54,-2.05%,508.42K,16:00:09,URI
Kinder Morgan,26.59,26.72,26.22,-0.3,-1.12%,12.51M,16:00:09,KMI
Albemarle,82.51,84.73,81.98,-1.16,-1.39%,1.5M,16:00:09,ALB
Centene,58.48,58.87,57.50,0.82,1.42%,5.54M,16:00:09,CNC
Phillips 66,131.55,132.29,129.24,1.59,1.22%,3.15M,16:00:09,PSX
Xylem,129.73,130.37,128.50,-0.53,-0.41%,830.74K,16:00:09,XYL
UDR,43.01,43.11,42.42,0.37,0.87%,1.84M,16:00:09,UDR
SBA Communications,210.03,210.30,206.29,2.26,1.09%,485.44K,16:00:09,SBAC
Gartner,503.16,513.42,502.54,-12.85,-2.49%,441.96K,16:00:09,IT
IDEX,196.07,199.97,195.16,-2.58,-1.30%,388.75K,16:00:09,IEX
Universal Health Services,184.17,184.50,182.17,0.75,0.41%,742.57K,16:00:09,UHS
LKQ,41.75,42.79,40.38,2.35,5.96%,4.59M,16:00:09,LKQ
Broadridge,236.30,238.05,234.51,-2.63,-1.10%,438.84K,16:00:09,BR
Extra Space Storage,155.94,156.11,153.20,2.17,1.41%,1.46M,16:00:09,EXR
Camden Property,120.84,121.50,118.28,1.94,1.63%,835.49K,16:00:09,CPT
Mohawk Industries,118.00,118.69,117.43,-0.44,-0.37%,539.26K,16:00:09,MHK
American Water Works,128.67,131.81,126.61,0.81,0.63%,1.83M,16:00:09,AWK
Alliant Energy,61.62,61.90,61.12,-0.02,-0.03%,3.25M,16:00:09,LNT
Celanese,52.61,54.83,51.52,-2.3,-4.19%,6.26M,16:00:09,CE
Bunge,71.26,71.33,69.44,1.08,1.54%,1.76M,16:00:09,BG
Ametek,188.78,189.29,187.51,-0.08,-0.04%,1.04M,16:00:09,AME
WR Berkley,60.40,60.57,59.55,-0.4,-0.66%,1.12M,16:00:09,WRB
LyondellBasell Industries,77.61,78.15,77.29,0.11,0.14%,1.73M,16:00:09,LYB
Royal Caribbean Cruises,243.89,261.26,232.14,-20.12,-7.62%,8.82M,16:00:09,RCL
Corpay,368.99,380.30,365.04,-9.27,-2.45%,357.27K,16:00:09,CPAY
Packaging America,209.68,212.44,206.57,-2.63,-1.24%,636.26K,16:00:09,PKG
Arthur J Gallagher,325.13,327.40,322.67,-2.2,-0.67%,876.41K,16:00:09,AJG
Church&Dwight,104.43,104.56,103.14,0.07,0.07%,1.73M,16:00:09,CHD
Generac,138.57,142.35,137.54,-3.85,-2.70%,940.18K,16:00:09,GNRC
Global Payments,105.58,106.90,104.25,-0.98,-0.92%,1.81M,16:00:09,GPN
Realty Income,56.52,56.70,55.67,0.85,1.53%,5.23M,16:00:09,O
AO Smith,66.79,67.77,66.65,-0.57,-0.85%,1.28M,16:00:09,AOS
Arch Capital,89.05,89.35,87.78,0.36,0.41%,2.09M,16:00:09,ACGL
Cboe Global,208.91,210.25,206.45,-1.34,-0.64%,481.19K,16:00:09,CBOE
Copart,58.22,59.97,57.84,-1.52,-2.54%,7.52M,16:00:09,CPRT
Old Dominion Freight Line,197.25,204.86,196.23,-7.86,-3.83%,1.37M,16:00:09,ODFL
Synopsys,493.97,505.17,493.48,-7.01,-1.40%,1.27M,16:00:09,SNPS
Trimble,73.21,76.39,72.36,-2.36,-3.12%,2M,16:00:09,TRMB
Ulta Beauty,366.68,367.46,359.27,6.72,1.87%,1.12M,16:00:09,ULTA
Verisk,292.70,294.26,291.06,-3.16,-1.07%,878.48K,16:00:09,VRSK
AbbVie,200.88,201.36,196.83,3.53,1.79%,5.07M,16:00:09,ABBV
Diamondback,162.09,162.84,159.46,1.83,1.14%,2.35M,16:00:09,FANG
Norwegian Cruise Line,25.68,26.73,24.36,-1.32,-4.89%,22.25M,16:00:09,NCLH
Zoetis Inc,157.42,158.45,155.78,0.78,0.50%,4.35M,16:00:09,ZTS
IQVIA Holdings,194.01,198.90,193.83,-2.5,-1.27%,1.08M,16:00:09,IQV
ServiceNow Inc,967.98,980.58,958.87,-19.16,-1.94%,1.35M,16:00:09,NOW
Palo Alto Networks,198.81,203.97,194.83,-6.38,-3.11%,5.88M,16:00:09,PANW
KKR & Co,134.55,138.62,132.59,-3.92,-2.83%,7.03M,16:00:09,KKR
CDW Corp,192.80,194.99,192.18,-1.7,-0.87%,915.23K,16:00:09,CDW
Hilton Worldwide,267.81,269.81,265.13,-1.7,-0.63%,1.11M,16:00:09,HLT
Allegion PLC,127.11,127.46,125.60,0.53,0.42%,1.21M,16:00:09,ALLE
Alphabet C,186.64,187.12,184.60,-0.49,-0.26%,12.06M,16:00:09,GOOG
Paycom Soft,214.40,215.49,210.20,-1.77,-0.82%,324.38K,16:00:09,PAYC
Arista Networks,103.40,104.91,99.82,-0.52,-0.50%,11.66M,16:00:09,ANET
Synchrony Financial,63.85,65.34,62.55,-1.74,-2.65%,3.47M,16:00:09,SYF
Citizens Financial Group Inc,46.18,47.79,45.67,-1.21,-2.55%,3.97M,16:00:09,CFG
Keysight Technologies,184.90,185.68,183.55,-0.21,-0.11%,700.6K,16:00:09,KEYS
Qorvo Inc,77.10,79.92,76.88,-1.79,-2.27%,1.61M,16:00:09,QRVO
Godaddy Inc,176.57,178.26,174.16,0.02,0.01%,1.6M,16:00:09,GDDY
PayPal,77.63,78.17,76.85,-0.73,-0.93%,9.32M,16:00:09,PYPL
Hewlett Packard,21.74,21.97,21.54,-0.11,-0.50%,8.68M,16:00:09,HPE
Match Group,33.87,34.68,33.10,-0.6,-1.74%,4.68M,16:00:09,MTCH
Fortive,81.84,83.32,81.84,-1.14,-1.37%,2.34M,16:00:09,FTV
Lamb Weston Holdings,56.81,57.69,56.71,-0.36,-0.63%,1.8M,16:00:09,LW
Invitation Homes,32.24,32.31,31.70,0.49,1.54%,1.84M,16:00:09,INVH
Vistra Energy,163.18,168.20,157.87,-6.17,-3.64%,7.13M,16:00:09,VST
VICI Properties,30.76,30.79,30.42,0.28,0.92%,4.58M,16:00:09,VICI
Dayforce,67.28,68.79,66.99,-0.99,-1.45%,1.08M,16:00:09,DAY
Moderna,33.73,36.30,32.78,-2.17,-6.04%,11.42M,16:00:09,MRNA
Uber Tech,81.26,81.84,80.06,0.1,0.12%,14.77M,16:00:09,UBER
Fox Corp A,57.38,57.53,56.59,-0.08,-0.14%,4.7M,16:00:09,FOXA
Fox Corp B,53.37,53.60,52.65,-0.24,-0.45%,1.62M,16:00:09,FOX
CrowdStrike Holdings,436.14,442.73,418.31,-14.0,-3.11%,4.77M,16:00:09,CRWD
Corteva,63.83,63.95,63.20,0.19,0.30%,2.24M,16:00:09,CTVA
Amcor PLC,10.39,10.40,10.17,0.19,1.86%,27.46M,16:00:09,AMCR
Trane Technologies,366.64,370.55,361.97,-3.91,-1.06%,1.14M,16:00:09,TT
Otis Worldwide,99.03,99.19,97.85,0.73,0.74%,1.76M,16:00:09,OTIS
Carrier Global,67.11,67.21,65.43,1.13,1.71%,5.99M,16:00:09,CARR
Howmet,138.44,139.53,135.12,-0.95,-0.68%,3.03M,16:00:09,HWM
Palantir,106.27,107.40,95.80,-5.79,-5.17%,243.09M,16:00:09,PLTR
Airbnb,155.31,157.75,152.47,-2.67,-1.69%,5.1M,16:00:09,ABNB
Constellation Energy,309.42,322.00,304.18,-12.25,-3.81%,3.86M,16:00:09,CEG
GE HealthCare,92.09,93.14,91.54,-0.43,-0.46%,2.34M,16:00:09,GEHC
Kenvue,22.39,22.58,21.89,0.12,0.54%,19.04M,16:00:09,KVUE
Veralto,97.72,97.92,96.65,0.04,0.04%,1.11M,16:00:09,VLTO
Linde PLC,461.90,462.13,458.40,-0.17,-0.04%,1.34M,16:00:09,LIN
GE Vernova LLC,359.68,383.29,353.11,-15.52,-4.14%,3.46M,16:00:09,GEV
Solventum,74.50,74.90,73.80,0.52,0.70%,602.17K,16:00:09,SOLV
Amentum Holdings LLC,20.75,21.20,20.07,-0.47,-2.21%,1.94M,16:00:09,AMNT
